Date,Sunrise Time,Sunset Time,Daylight,Month
1,07:42:00,16:53:00,09:10:43,1
2,07:42:00,16:54:00,09:11:30,1
3,07:42:00,16:55:00,09:12:21,1
4,07:42:00,16:56:00,09:13:15,1
5,07:42:00,16:56:00,09:14:14,1
6,07:42:00,16:57:00,09:15:16,1
7,07:42:00,16:58:00,09:16:23,1
8,07:42:00,16:59:00,09:17:33,1
9,07:42:00,17:01:00,09:18:46,1
10,07:41:00,17:02:00,09:20:04,1
11,07:41:00,17:03:00,09:21:24,1
12,07:41:00,17:04:00,09:22:49,1
13,07:41:00,17:05:00,09:24:16,1
14,07:40:00,17:06:00,09:25:47,1
15,07:40:00,17:07:00,09:27:21,1
16,07:39:00,17:08:00,09:28:59,1
17,07:39:00,17:09:00,09:30:39,1
18,07:38:00,17:11:00,09:32:23,1
19,07:38:00,17:12:00,09:34:09,1
20,07:37:00,17:13:00,09:35:58,1
21,07:36:00,17:14:00,09:37:50,1
22,07:36:00,17:16:00,09:39:45,1
23,07:35:00,17:17:00,09:41:43,1
24,07:34:00,17:18:00,09:43:42,1
25,07:34:00,17:19:00,09:45:45,1
26,07:33:00,17:21:00,09:47:49,1
27,07:32:00,17:22:00,09:49:56,1
28,07:31:00,17:23:00,09:52:06,1
29,07:30:00,17:24:00,09:54:17,1
30,07:29:00,17:26:00,09:56:30,1
31,07:28:00,17:27:00,09:58:46,1
1,07:27:00,17:28:00,10:01:03,2
2,07:26:00,17:30:00,10:03:22,2
3,07:25:00,17:31:00,10:05:43,2
4,07:24:00,17:32:00,10:08:06,2
5,07:23:00,17:33:00,10:10:30,2
6,07:22:00,17:35:00,10:12:56,2
7,07:21:00,17:36:00,10:15:23,2
8,07:19:00,17:37:00,10:17:52,2
9,07:18:00,17:39:00,10:20:22,2
10,07:17:00,17:40:00,10:22:53,2
11,07:16:00,17:41:00,10:25:26,2
12,07:14:00,17:42:00,10:28:00,2
13,07:13:00,17:44:00,10:30:35,2
14,07:12:00,17:45:00,10:33:11,2
15,07:10:00,17:46:00,10:35:48,2
16,07:09:00,17:48:00,10:38:26,2
17,07:08:00,17:49:00,10:41:06,2
18,07:06:00,17:50:00,10:43:46,2
19,07:05:00,17:51:00,10:46:27,2
20,07:03:00,17:53:00,10:49:08,2
21,07:02:00,17:54:00,10:51:51,2
22,07:01:00,17:55:00,10:54:34,2
23,06:59:00,17:56:00,10:57:18,2
24,06:58:00,17:58:00,11:00:03,2
25,06:56:00,17:59:00,11:02:48,2
26,06:54:00,18:00:00,11:05:33,2
27,06:53:00,18:01:00,11:08:20,2
28,06:51:00,18:02:00,11:11:06,2
29,06:50:00,18:04:00,11:13:54,2
1,06:48:00,18:05:00,11:16:41,3
2,06:47:00,18:06:00,11:19:29,3
3,06:45:00,18:07:00,11:22:18,3
4,06:43:00,18:08:00,11:25:06,3
5,06:42:00,18:10:00,11:27:55,3
6,06:40:00,18:11:00,11:30:45,3
7,06:38:00,18:12:00,11:33:34,3
8,07:37:00,19:13:00,11:36:24,3
9,07:35:00,19:14:00,11:39:14,3
10,07:33:00,19:15:00,11:42:04,3
11,07:32:00,19:17:00,11:44:54,3
12,07:30:00,19:18:00,11:47:45,3
13,07:28:00,19:19:00,11:50:35,3
14,07:27:00,19:20:00,11:53:26,3
15,07:25:00,19:21:00,11:56:17,3
16,07:23:00,19:22:00,11:59:08,3
17,07:21:00,19:23:00,12:01:59,3
18,07:20:00,19:25:00,12:04:50,3
19,07:18:00,19:26:00,12:07:41,3
20,07:16:00,19:27:00,12:10:31,3
21,07:15:00,19:28:00,12:13:22,3
22,07:13:00,19:29:00,12:16:13,3
23,07:11:00,19:30:00,12:19:04,3
24,07:09:00,19:31:00,12:21:54,3
25,07:08:00,19:32:00,12:24:45,3
26,07:06:00,19:34:00,12:27:35,3
27,07:04:00,19:35:00,12:30:25,3
28,07:03:00,19:36:00,12:33:15,3
29,07:01:00,19:37:00,12:36:05,3
30,06:59:00,19:38:00,12:38:54,3
31,06:57:00,19:39:00,12:41:43,3
1,06:56:00,19:40:00,12:44:32,4
2,06:54:00,19:41:00,12:47:21,4
3,06:52:00,19:43:00,12:50:09,4
4,06:51:00,19:44:00,12:52:57,4
5,06:49:00,19:45:00,12:55:44,4
6,06:47:00,19:46:00,12:58:31,4
7,06:46:00,19:47:00,13:01:18,4
8,06:44:00,19:48:00,13:04:04,4
9,06:42:00,19:49:00,13:06:49,4
10,06:41:00,19:50:00,13:09:34,4
11,06:39:00,19:51:00,13:12:19,4
12,06:37:00,19:52:00,13:15:03,4
13,06:36:00,19:54:00,13:17:46,4
14,06:34:00,19:55:00,13:20:29,4
15,06:33:00,19:56:00,13:23:11,4
16,06:31:00,19:57:00,13:25:52,4
17,06:29:00,19:58:00,13:28:33,4
18,06:28:00,19:59:00,13:31:13,4
19,06:26:00,20:00:00,13:33:52,4
20,06:25:00,20:01:00,13:36:30,4
21,06:23:00,20:02:00,13:39:08,4
22,06:22:00,20:04:00,13:41:44,4
23,06:20:00,20:05:00,13:44:19,4
24,06:19:00,20:06:00,13:46:54,4
25,06:17:00,20:07:00,13:49:27,4
26,06:16:00,20:08:00,13:51:59,4
27,06:15:00,20:09:00,13:54:30,4
28,06:13:00,20:10:00,13:57:00,4
29,06:12:00,20:11:00,13:59:29,4
30,06:11:00,20:12:00,14:01:56,4
1,06:09:00,20:14:00,14:04:22,5
2,06:08:00,20:15:00,14:06:47,5
3,06:07:00,20:16:00,14:09:09,5
4,06:05:00,20:17:00,14:11:31,5
5,06:04:00,20:18:00,14:13:51,5
6,06:03:00,20:19:00,14:16:09,5
7,06:02:00,20:20:00,14:18:25,5
8,06:00:00,20:21:00,14:20:40,5
9,05:59:00,20:22:00,14:22:53,5
10,05:58:00,20:23:00,14:25:04,5
11,05:57:00,20:24:00,14:27:13,5
12,05:56:00,20:25:00,14:29:21,5
13,05:55:00,20:26:00,14:31:26,5
14,05:54:00,20:27:00,14:33:29,5
15,05:53:00,20:28:00,14:35:29,5
16,05:52:00,20:29:00,14:37:28,5
17,05:51:00,20:30:00,14:39:24,5
18,05:50:00,20:31:00,14:41:18,5
19,05:49:00,20:32:00,14:43:09,5
20,05:48:00,20:33:00,14:44:58,5
21,05:48:00,20:34:00,14:46:45,5
22,05:47:00,20:35:00,14:48:28,5
23,05:46:00,20:36:00,14:50:09,5
24,05:45:00,20:37:00,14:51:47,5
25,05:45:00,20:38:00,14:53:22,5
26,05:44:00,20:39:00,14:54:54,5
27,05:43:00,20:40:00,14:56:24,5
28,05:43:00,20:41:00,14:57:50,5
29,05:42:00,20:41:00,14:59:13,5
30,05:42:00,20:42:00,15:00:32,5
31,05:41:00,20:43:00,15:01:49,5
1,05:41:00,20:44:00,15:03:02,6
2,05:40:00,20:44:00,15:04:12,6
3,05:40:00,20:45:00,15:05:19,6
4,05:39:00,20:46:00,15:06:21,6
5,05:39:00,20:46:00,15:07:21,6
6,05:39:00,20:47:00,15:08:17,6
7,05:39:00,20:48:00,15:09:09,6
8,05:38:00,20:48:00,15:09:58,6
9,05:38:00,20:49:00,15:10:43,6
10,05:38:00,20:49:00,15:11:24,6
11,05:38:00,20:50:00,15:12:01,6
12,05:38:00,20:50:00,15:12:35,6
13,05:38:00,20:51:00,15:13:05,6
14,05:38:00,20:51:00,15:13:31,6
15,05:38:00,20:52:00,15:13:53,6
16,05:38:00,20:52:00,15:14:11,6
17,05:38:00,20:52:00,15:14:26,6
18,05:38:00,20:53:00,15:14:36,6
19,05:38:00,20:53:00,15:14:42,6
20,05:38:00,20:53:00,15:14:45,6
21,05:39:00,20:53:00,15:14:43,6
22,05:39:00,20:53:00,15:14:38,6
23,05:39:00,20:54:00,15:14:29,6
24,05:39:00,20:54:00,15:14:16,6
25,05:40:00,20:54:00,15:13:59,6
26,05:40:00,20:54:00,15:13:38,6
27,05:41:00,20:54:00,15:13:13,6
28,05:41:00,20:54:00,15:12:44,6
29,05:41:00,20:54:00,15:12:11,6
30,05:42:00,20:54:00,15:11:35,6
1,05:42:00,20:53:00,15:10:55,7
2,05:43:00,20:53:00,15:10:11,7
3,05:44:00,20:53:00,15:09:24,7
4,05:44:00,20:53:00,15:08:33,7
5,05:45:00,20:52:00,15:07:38,7
6,05:45:00,20:52:00,15:06:40,7
7,05:46:00,20:52:00,15:05:38,7
8,05:47:00,20:51:00,15:04:33,7
9,05:47:00,20:51:00,15:03:25,7
10,05:48:00,20:50:00,15:02:13,7
11,05:49:00,20:50:00,15:00:58,7
12,05:50:00,20:49:00,14:59:39,7
13,05:50:00,20:49:00,14:58:18,7
14,05:51:00,20:48:00,14:56:53,7
15,05:52:00,20:48:00,14:55:26,7
16,05:53:00,20:47:00,14:53:55,7
17,05:54:00,20:46:00,14:52:22,7
18,05:55:00,20:45:00,14:50:45,7
19,05:56:00,20:45:00,14:49:06,7
20,05:56:00,20:44:00,14:47:25,7
21,05:57:00,20:43:00,14:45:40,7
22,05:58:00,20:42:00,14:43:53,7
23,05:59:00,20:41:00,14:42:04,7
24,06:00:00,20:40:00,14:40:12,7
25,06:01:00,20:39:00,14:38:18,7
26,06:02:00,20:38:00,14:36:21,7
27,06:03:00,20:37:00,14:34:22,7
28,06:04:00,20:36:00,14:32:21,7
29,06:05:00,20:35:00,14:30:18,7
30,06:06:00,20:34:00,14:28:13,7
31,06:07:00,20:33:00,14:26:06,7
1,06:08:00,20:32:00,14:23:57,8
2,06:09:00,20:31:00,14:21:47,8
3,06:10:00,20:30:00,14:19:34,8
4,06:11:00,20:28:00,14:17:20,8
5,06:12:00,20:27:00,14:15:04,8
6,06:13:00,20:26:00,14:12:46,8
7,06:14:00,20:25:00,14:10:27,8
8,06:15:00,20:23:00,14:08:07,8
9,06:16:00,20:22:00,14:05:45,8
10,06:17:00,20:21:00,14:03:21,8
11,06:18:00,20:19:00,14:00:57,8
12,06:19:00,20:18:00,13:58:31,8
13,06:20:00,20:16:00,13:56:03,8
14,06:21:00,20:15:00,13:53:35,8
15,06:22:00,20:14:00,13:51:05,8
16,06:23:00,20:12:00,13:48:35,8
17,06:25:00,20:11:00,13:46:03,8
18,06:26:00,20:09:00,13:43:30,8
19,06:27:00,20:08:00,13:40:56,8
20,06:28:00,20:06:00,13:38:22,8
21,06:29:00,20:04:00,13:35:46,8
22,06:30:00,20:03:00,13:33:10,8
23,06:31:00,20:01:00,13:30:33,8
24,06:32:00,20:00:00,13:27:55,8
25,06:33:00,19:58:00,13:25:16,8
26,06:34:00,19:57:00,13:22:37,8
27,06:35:00,19:55:00,13:19:57,8
28,06:36:00,19:53:00,13:17:16,8
29,06:37:00,19:52:00,13:14:35,8
30,06:38:00,19:50:00,13:11:53,8
31,06:39:00,19:48:00,13:09:11,8
1,06:40:00,19:47:00,13:06:28,9
2,06:41:00,19:45:00,13:03:45,9
3,06:42:00,19:43:00,13:01:01,9
4,06:43:00,19:42:00,12:58:17,9
5,06:44:00,19:40:00,12:55:32,9
6,06:45:00,19:38:00,12:52:47,9
7,06:46:00,19:36:00,12:50:02,9
8,06:47:00,19:35:00,12:47:16,9
9,06:48:00,19:33:00,12:44:30,9
10,06:49:00,19:31:00,12:41:44,9
11,06:50:00,19:29:00,12:38:58,9
12,06:52:00,19:28:00,12:36:11,9
13,06:53:00,19:26:00,12:33:24,9
14,06:54:00,19:24:00,12:30:36,9
15,06:55:00,19:22:00,12:27:49,9
16,06:56:00,19:21:00,12:25:01,9
17,06:57:00,19:19:00,12:22:13,9
18,06:58:00,19:17:00,12:19:25,9
19,06:59:00,19:15:00,12:16:37,9
20,07:00:00,19:14:00,12:13:49,9
21,07:01:00,19:12:00,12:11:01,9
22,07:02:00,19:10:00,12:08:13,9
23,07:03:00,19:08:00,12:05:24,9
24,07:04:00,19:07:00,12:02:36,9
25,07:05:00,19:05:00,11:59:48,9
26,07:06:00,19:03:00,11:56:59,9
27,07:07:00,19:01:00,11:54:11,9
28,07:08:00,19:00:00,11:51:23,9
29,07:09:00,18:58:00,11:48:35,9
30,07:10:00,18:56:00,11:45:47,9
1,07:12:00,18:55:00,11:42:59,10
2,07:13:00,18:53:00,11:40:12,10
3,07:14:00,18:51:00,11:37:24,10
4,07:15:00,18:49:00,11:34:37,10
5,07:16:00,18:48:00,11:31:50,10
6,07:17:00,18:46:00,11:29:03,10
7,07:18:00,18:44:00,11:26:16,10
8,07:19:00,18:43:00,11:23:30,10
9,07:20:00,18:41:00,11:20:44,10
10,07:21:00,18:39:00,11:17:58,10
11,07:23:00,18:38:00,11:15:13,10
12,07:24:00,18:36:00,11:12:28,10
13,07:25:00,18:35:00,11:09:43,10
14,07:26:00,18:33:00,11:06:59,10
15,07:27:00,18:31:00,11:04:16,10
16,07:28:00,18:30:00,11:01:32,10
17,07:29:00,18:28:00,10:58:50,10
18,07:31:00,18:27:00,10:56:08,10
19,07:32:00,18:25:00,10:53:26,10
20,07:33:00,18:24:00,10:50:46,10
21,07:34:00,18:22:00,10:48:05,10
22,07:35:00,18:21:00,10:45:26,10
23,07:37:00,18:19:00,10:42:48,10
24,07:38:00,18:18:00,10:40:10,10
25,07:39:00,18:16:00,10:37:33,10
26,07:40:00,18:15:00,10:34:57,10
27,07:41:00,18:14:00,10:32:22,10
28,07:43:00,18:12:00,10:29:49,10
29,07:44:00,18:11:00,10:27:16,10
30,07:45:00,18:10:00,10:24:44,10
31,07:46:00,18:08:00,10:22:14,10
1,06:47:00,17:07:00,10:19:44,11
2,06:49:00,17:06:00,10:17:16,11
3,06:50:00,17:05:00,10:14:50,11
4,06:51:00,17:04:00,10:12:24,11
5,06:52:00,17:02:00,10:10:01,11
6,06:54:00,17:01:00,10:07:38,11
7,06:55:00,17:00:00,10:05:18,11
8,06:56:00,16:59:00,10:02:58,11
9,06:57:00,16:58:00,10:00:41,11
10,06:59:00,16:57:00,09:58:25,11
11,07:00:00,16:56:00,09:56:12,11
12,07:01:00,16:55:00,09:54:00,11
13,07:02:00,16:54:00,09:51:50,11
14,07:03:00,16:53:00,09:49:42,11
15,07:05:00,16:52:00,09:47:37,11
16,07:06:00,16:51:00,09:45:33,11
17,07:07:00,16:51:00,09:43:32,11
18,07:08:00,16:50:00,09:41:33,11
19,07:10:00,16:49:00,09:39:37,11
20,07:11:00,16:48:00,09:37:43,11
21,07:12:00,16:48:00,09:35:52,11
22,07:13:00,16:47:00,09:34:04,11
23,07:14:00,16:47:00,09:32:19,11
24,07:15:00,16:46:00,09:30:36,11
25,07:17:00,16:45:00,09:28:56,11
26,07:18:00,16:45:00,09:27:20,11
27,07:19:00,16:45:00,09:25:46,11
28,07:20:00,16:44:00,09:24:16,11
29,07:21:00,16:44:00,09:22:49,11
30,07:22:00,16:43:00,09:21:25,11
1,07:23:00,16:43:00,09:20:04,12
2,07:24:00,16:43:00,09:18:48,12
3,07:25:00,16:43:00,09:17:34,12
4,07:26:00,16:43:00,09:16:25,12
5,07:27:00,16:42:00,09:15:18,12
6,07:28:00,16:42:00,09:14:16,12
7,07:29:00,16:42:00,09:13:18,12
8,07:30:00,16:42:00,09:12:23,12
9,07:31:00,16:42:00,09:11:32,12
10,07:32:00,16:42:00,09:10:45,12
11,07:32:00,16:43:00,09:10:03,12
12,07:33:00,16:43:00,09:09:24,12
13,07:34:00,16:43:00,09:08:49,12
14,07:35:00,16:43:00,09:08:19,12
15,07:35:00,16:43:00,09:07:53,12
16,07:36:00,16:44:00,09:07:31,12
17,07:37:00,16:44:00,09:07:13,12
18,07:37:00,16:44:00,09:06:59,12
19,07:38:00,16:45:00,09:06:50,12
20,07:39:00,16:45:00,09:06:45,12
21,07:39:00,16:46:00,09:06:45,12
22,07:40:00,16:46:00,09:06:48,12
23,07:40:00,16:47:00,09:06:56,12
24,07:40:00,16:48:00,09:07:08,12
25,07:41:00,16:48:00,09:07:25,12
26,07:41:00,16:49:00,09:07:46,12
27,07:41:00,16:50:00,09:08:11,12
28,07:42:00,16:50:00,09:08:40,12
29,07:42:00,16:51:00,09:09:13,12
30,07:42:00,16:52:00,09:09:51,12
31,07:42:00,16:53:00,09:10:32,12
